"","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"20204",4,"PL",3,0,2,40,0,7,3.66666666666667,9,2,14,0,6,9,6,10,5.65685424949238,7.07106781186548
"20205",5,"PL",4,1,1,30,0,5,4.66666666666667,4,5,15,4,7,9,10,9,4.24264068711928,2.12132034355964
"20206",2,"PL",2,0,1,25,0,6,4,5,10,13,5,5,10,10,10,7.07106781186548,3.53553390593274
"20207",7,"PL",7,0,2,47,0,6,3.33333333333333,5,8,11,3,10,10,10,10,2.12132034355964,1.4142135623731
"20208",8,"PL",5,1,1,53,0,8,7.33333333333333,6,7,13,5,10,10,10,9,3.53553390593274,0.707106781186548
"20209",5,"PL",1,0,1,18,0,6,3.66666666666667,5,3,11,6,4,9,7,9,4.94974746830583,5.65685424949238
"20210",2,"PL",4,0,2,63,0,5,5.66666666666667,5,7,12,9,9,10,10,10,2.12132034355964,3.53553390593274
"20211",5,"PL",5,0,2,23,0,8,4.66666666666667,5,1,13,2,5,10,10,10,5.65685424949238,5.65685424949238
"20212",3,"PL",2,0,1,62,0,4,3.33333333333333,1,8,11,2,4,10,10,10,4.94974746830583,4.24264068711928
"20213",7,"PL",4,0,2,33,0,7,3.66666666666667,6,7,17,4,8,10,10,8,2.82842712474619,1.4142135623731
"20214",5,"PL",4,0,1,38,0,4,4.66666666666667,5,9,19,0,9,10,10,10,3.53553390593274,7.07106781186548
"20215",9,"PL",9,0,1,31,0,8,3.66666666666667,6,6,11,10,10,10,8,10,0.707106781186548,0.707106781186548
"20216",5,"PL",4,0,1,33,1,6,0.666666666666667,4,2,11,2,3,10,9,9,7.07106781186548,7.07106781186548
"20217",0,"PL",3,0,2,62,0,9,5,10,5,11,0,8,10,10,10,5.65685424949238,7.07106781186548
"20218",3,"PL",4,0,2,77,0,6,5,2,1,8,3,7,6,8,8,2.82842712474619,3.53553390593274
"20219",2,"PL",0,0,1,66,0,5,2.66666666666667,2,5,10,1,10,10,10,10,6.36396103067893,5.65685424949238
"20220",2,"PL",3,0,2,26,0,8,2.66666666666667,5,7,19,2,3,10,10,10,7.07106781186548,7.07106781186548
"20221",6,"PL",4,0,2,30,0,5,7.66666666666667,7,4,17,4,8,8,10,9,4.24264068711928,4.94974746830583
"20222",6,"PL",6,0,1,72,0,10,4.66666666666667,6,5,10,5,5,10,10,8,1.4142135623731,2.82842712474619
"20223",1,"PL",0,0,1,49,0,4,2.66666666666667,3,3,14,1,5,10,10,10,7.07106781186548,7.07106781186548
"20224",5,"PL",4,0,2,84,0,9,4.66666666666667,8,5,7,3,5,5,6,5,1.4142135623731,1.4142135623731
"20225",6,"PL",5,0,2,58,0,5,6,5,4,16,5,9,10,9,9,4.94974746830583,1.4142135623731
"20226",5,"PL",3,0,2,25,1,8,4,10,8,13,7,8,10,8,10,4.94974746830583,3.53553390593274
"20227",2,"PL",2,0,2,33,0,10,3,5,3,11,3,3,6,8,9,4.24264068711928,5.65685424949238
"20228",7,"PL",6,0,1,77,0,3,6.66666666666667,1,9,16,2,4,10,8,9,4.94974746830583,4.24264068711928
"20229",4,"PL",4,0,1,20,0,7,5.66666666666667,8,4,13,7,6,10,10,10,4.24264068711928,2.82842712474619
